id,site,date,hoff,hdef,htemp,aoff,adef,atemp,line,ou,hp,ap,prob,hs,as
401581593,True,20231119,108.19999999999999,89.65,70.15,110.25,96.75,64.6,-4.5,129.5,67.8,64.7,0.6165,66,57
401581511,True,20231119,104.35,101.0,69.35,103.85,98.45,67.4,-1.5,139.5,68.0,69.3,0.4591,57,55
401575446,False,20231119,107.95,90.19999999999999,70.05,95.1,103.5,69.80000000000001,-25.5,132.0,81.2,59.7,0.9599,92,37
401587242,True,20231119,100.9,109.05,70.2,93.80000000000001,111.05000000000001,71.2,-8.5,146.5,77.4,71.4,0.7132,60,71
401581534,True,20231119,104.3,97.85,71.95,108.45,103.5,70.8,1.5,149.5,75.7,74.8,0.5241,86,76
401600081,False,20231119,101.8,104.5,70.15,102.65,109.85,73.85,-7.5,153.5,82.3,75.5,0.7072,88,77
401594469,False,20231119,102.55,103.75,71.55,97.95,109.75,69.35,-14.5,148.5,80.4,69.9,0.8207,68,63
401594230,False,20231119,106.9,95.15,71.55000000000001,102.25,103.35,66.25,-13.5,137.5,77.2,64.7,0.8679,90,66
401583715,False,20231119,102.44999999999999,97.95,66.19999999999999,100.35,106.0,71.25,-9.5,139.5,75.8,65.4,0.8089,62,52
401583610,False,20231119,105.0,103.3,70.85,99.44999999999999,104.85,68.0,-8.5,142.5,77.4,69.0,0.779,76,82
401577685,False,20231119,100.15,106.30000000000001,71.75,98.94999999999999,109.65,71.55,-6.5,151.5,80.7,74.1,0.7111,85,82
401581517,True,20231119,113.65,98.35,71.75,109.80000000000001,94.25,73.05,-3.5,157.5,77.4,77.4,0.5029,91,83
401600056,True,20231119,106.1,104.8,70.2,101.44999999999999,110.9,70.44999999999999,-12.5,154.5,79.1,72.1,0.7383,78,70
401598576,True,20231119,109.75,106.15,73.25,100.15,100.6,69.25,-4.5,151.5,77.0,74.3,0.6262,70,88
401581550,True,20231119,111.80000000000001,101.85,69.9,107.5,97.45,69.95,-1.5,149.5,73.8,73.8,0.5102,80,86
401581512,True,20231119,106.95,96.94999999999999,68.1,98.55000000000001,98.65,68.65,-7.5,136.5,70.5,63.8,0.7335,70,71
401591375,True,20231119,103.4,104.0,70.75,110.95,91.6,71.1,17.5,142.5,67.0,80.0,0.1307,80,81
401581592,True,20231119,106.45,97.80000000000001,68.30000000000001,102.35,102.25,70.55000000000001,-5.5,142.5,73.5,67.9,0.6914,78,57
401587243,False,20231119,102.9,102.65,63.65,102.65,112.0,70.0,-8.5,135.5,75.1,65.8,0.7807,58,56
401577635,False,20231119,111.8,97.85,68.75,98.7,109.15,68.4,-22.5,141.5,82.9,63.2,0.9499,73,56
401601488,True,20231119,103.25,97.5,70.7,102.45,101.3,70.75,-8.5,142.5,73.4,70.4,0.605,70,54
401575483,False,20231119,105.25,104.44999999999999,70.7,100.65,108.6,68.35,-9.5,143.5,79.4,70.1,0.7973,88,83
401593911,True,20231119,99.4,104.15,72.65,97.0,106.85,69.7,-4.5,144.5,75.1,71.8,0.6273,92,96
401584331,False,20231119,111.30000000000001,98.75,68.3,102.3,110.85,70.4,-18.5,147.5,84.4,66.8,0.9294,98,76
